Fips,Name,Temp,Rank,Past Mean,,,,,,
5137,Mendocino County,66.8,125,61.9,,,,,,
5139,Merced County,76.8,123,72.1,,,,,,
5141,Modoc County,66.6,127,57.2,,,,,,
5143,Mono County,63.3,127,55.3,,,,,,
5145,Monterey County,68.8,124,64.1,,,,,,
5147,Napa County,71.2,121,67.3,,,,,,
5149,Nevada County,69.1,127,61.9,,,,,,
6001,Orange County,69.8,115,66.6,,,,,,
6003,Placer County,70.4,127,63.3,,,,,,
6005,Plumas County,65.2,127,57.8,,,,,,
6007,Riverside County,86.2,127,78.8,,,,,,
6009,Sacramento County,75.9,122,71.6,,,,,,
6011,San Benito County,71.3,124,66.3,,,,,,
6013,San Bernardino County,87.3,127,79.3,,,,,,
6015,San Diego County,75,127,68.6,,,,,,
6017,San Francisco County,62.7,123,59.4,,,,,,
6019,San Joaquin County,74.3,112,71.3,,,,,,
6021,San Luis Obispo County,71,125,65.7,,,,,,
6023,San Mateo County,63.3,125,59.3,,,,,,
6025,Santa Barbara County,67.1,125,62.1,,,,,,
6027,Santa Clara County,68.7,124,64.2,,,,,,
6029,Santa Cruz County,64.4,125,60.3,,,,,,
6031,Shasta County,73.2,126,65.5,,,,,,
6033,Sierra County,64.7,127,56.9,,,,,,
6035,Siskiyou County,66.2,126,57.9,,,,,,
6037,Solano County,72.6,116,69.2,,,,,,
6039,Sonoma County,65.3,115,62.2,,,,,,
6041,Stanislaus County,75.1,119,71.1,,,,,,
6043,Sutter County,79.2,125,73.6,,,,,,
6045,Tehama County,75.6,125,69.4,,,,,,
6047,Trinity County,68.8,126,61.5,,,,,,
6049,Tulare County,71.8,127,64.4,,,,,,
6051,Tuolumne County,66.6,126,59.6,,,,,,
6053,Ventura County,67.8,124,62.3,,,,,,
6055,Yolo County,76.1,122,71.9,,,,,,
6057,Yuba County,77.3,125,70.9,,,,,,
6059,Adams County,70.9,115,66.1,,,,,,
6061,Alamosa County,62.5,120,58.9,,,,,,
6063,Arapahoe County,70.1,116,65.3,,,,,,
6065,Archuleta County,62.6,121,58,,,,,,
6067,Baca County,72.4,79,71.3,,,,,,
6069,Bent County,72.9,80,71.6,,,,,,
6071,Boulder County,63.6,119,59,,,,,,
6073,Broomfield County,70.6,114,66.2,,,,,,
6075,Chaffee County,55.9,112,52.4,,,,,,
6077,Cheyenne County,71.7,99,69.2,,,,,,
6079,Clear Creek County,55.5,122,51,,,,,,
6081,Conejos County,59.1,121,55.1,,,,,,
6083,Costilla County,59.9,112,56.6,,,,,,
6085,Crowley County,71.6,96,69.2,,,,,,
6087,Custer County,59,116,55.7,,,,,,
6089,Delta County,68.3,125,61.8,,,,,,
6091,Denver County,70.9,116,66.4,,,,,,
6093,Dolores County,62.8,125,56.6,,,,,,
6095,Douglas County,65.7,114,62,,,,,,
6097,Eagle County,59.4,126,54.1,,,,,,
6099,Elbert County,68.2,119,63.5,,,,,,
6101,El Paso County,67.1,113,63.2,,,,,,
6103,Fremont County,63.6,108,60.5,,,,,,
6105,Garfield County,64.7,127,58.1,,,,,,
6107,Gilpin County,57.6,122,52.9,,,,,,
6109,Grand County,57.3,126,51.9,,,,,,
6111,Gunnison County,58.2,125,53,,,,,,
6113,Hinsdale County,54.7,124,48.5,,,,,,
6115,Huerfano County,64.9,113,61.6,,,,,,
8001,Jackson County,57.2,127,51.2,,,,,,
8003,Jefferson County,64.4,116,60.6,,,,,,
